9:24:54 PM: Executing task ':Application.main()'...

> Task :compileJava
> Task :processResources NO-SOURCE
> Task :classes

> Task :Application.main()
Rune_0 created with Fire:8236, Earth:2745, Water:4900, Dark:99807, Light:15881
Rune_990 created with Fire:8797, Earth:4622, Water:3524, Dark:38582662, Light:16943
Rune_991 created with Fire:3752, Earth:1064, Water:7362, Dark:38625564, Light:12178
Rune_992 created with Fire:9852, Earth:5846, Water:4836, Dark:38660110, Light:20534
Rune_993 created with Fire:8340, Earth:4390, Water:2790, Dark:38699670, Light:15520
Rune_994 created with Fire:7954, Earth:11332, Water:8388, Dark:38727076, Light:27674
Rune_995 created with Fire:6974, Earth:8860, Water:4892, Dark:38761430, Light:20726
Rune_996 created with Fire:4115, Earth:6536, Water:2786, Dark:38803073, Light:13437
Rune_997 created with Fire:2994, Earth:4587, Water:7617, Dark:38842955, Light:15198
Rune_998 created with Fire:2328, Earth:4333, Water:8131, Dark:38883243, Light:14792
Rune_999 created with Fire:7408, Earth:5954, Water:9944, Dark:38915017, Light:23306

Max Fire:12030
Max Earth:11787
Max Water:12670
Max Dark:38915017
Max Light:29640
